E001,Tran Minh Quan,quan@cinema.com,0901112222,Quan Ly
E002,Le Thu Ha,ha@cinema.com,0903334444,Ban Ve
E003,Nguyen Tuan Kiet,kiet@cinema.com,0905556666,Ky Thuat
E004,Pham Ngoc Lan,lan@cinema.com,0907778888,Ve Sinh
E005,Hoang Duc Tai,tai@cinema.com,0909990000,Bao Ve
E006,Vu Thi Mai,mai@cinema.com,0911112222,Ban Ve
E007,Dang Van Nam,nam@cinema.com,0913334444,Kiem Soat Ve
E008,Bui Thi Cuc,cuc@cinema.com,0915556666,Pha Che
E009,Do Van Hung,hung@cinema.com,0917778888,Ky Thuat
E010,Ngo Thi Ly,ly@cinema.com,0919990000,Ke Toan
